GEOID10,rpp_spots
110010008022011,21
110010008022013,19
110010008022014,28
110010008022015,61
110010008022016,27
110010008022017,84
110010008022018,30
110010008022019,9
110010008022020,40
110010008022021,82
110010009011002,55
110010009011003,152
110010009011004,92
110010009011005,18
110010009011009,11
110010009011015,10
110010009011016,11
110010009011017,14
110010009012002,30
110010009012006,120
110010009012007,50
110010009012008,19
110010009012009,48
110010009012010,45
110010009012012,11
110010009012013,39
110010009012023,30
110010009012024,65
110010009012025,44
110010009013001,65
110010009013002,37
110010009013003,49
110010009013004,16
110010009013005,32
110010009013008,42
110010009013009,15
110010009013010,2
110010009013011,206
110010009013012,88
110010009013013,47
110010009013014,59
110010009013015,31
110010009013018,31
110010009013019,17
110010009013026,173
110010009013027,154
110010009013028,26
110010009013029,92
110010009013030,116
110010009021002,108
110010009021003,58
110010009021006,52
110010009021007,93
110010009021008,32
110010009022005,19
110010009022017,9
110010009022020,9
110010009022023,86
110010009022024,59
110010009022025,35
110010009022030,33
110010009022032,56
110010009022033,72
110010009022035,36
110010009022036,65
110010009022039,2
110010010011002,63
110010010011003,21
110010010011004,57
110010010011005,27
110010010011006,58
110010010011007,55
110010010011008,65
110010010011009,19
110010010011010,76
110010010011011,66
110010010011012,61
110010010011013,69
110010010012000,44
110010010012001,62
110010010012002,61
110010010012003,79
110010010012004,70
110010010012005,61
110010010012006,10
110010010012007,46
110010010012008,94
110010010012009,1
110010010012010,7
110010010012011,22
110010010012012,48
110010010012013,59
110010010012014,62
110010010012015,66
110010010012016,34
110010010012017,57
110010010012018,60
110010010012019,70
110010010012020,3
110010010012021,9
110010010012022,4
110010010012023,5
110010010012024,55
110010010012025,80
110010010012026,69
110010010012027,23
110010010012028,74
110010010012029,59
110010010012030,48
110010010012031,41
110010010012032,28
110010010013002,19
110010010013003,12
110010010013004,12
110010010013005,98
110010010013006,85
110010010013007,74
110010010013008,48
110010010013009,22
110010010013010,33
110010010013011,29
110010010013012,76
110010010013013,102
110010010013014,60
110010010013015,33
110010010013016,11
110010010014000,34
110010010014001,75
110010010014002,38
110010010014003,71
110010010014004,68
110010010014005,63
110010010014006,35
110010010014008,62
110010010014009,62
110010010014010,64
110010010014013,76
110010010014014,21
110010010014015,68
110010010014016,56
110010010014017,64
110010010014019,16
110010010014020,7
110010010014021,198
110010010014022,90
110010010014023,106
110010010014024,64
110010010014025,65
110010010014026,67
110010010014027,6
110010010014028,7
110010010015000,9
110010010015001,49
110010010015002,60
110010010015003,41
110010010015004,7
110010010015006,14
110010010015007,8
110010010015016,15
110010010016001,30
110010010016002,56
110010010016003,74
110010010016004,78
110010010016005,6
110010010016006,34
110010010016007,48
110010010016008,54
110010010016009,72
110010010016010,53
110010010016012,29
110010010016013,59
110010010016014,59
110010010016015,51
110010010016016,31
110010010016017,64
110010010016018,66
110010010016019,49
110010010016020,9
110010010016021,60
110010010021000,80
110010010022000,54
110010010022001,91
110010010022002,37
110010010022003,107
110010010022004,6
110010010022005,115
110010010022006,49
110010010022007,10
110010010023001,32
110010010023002,41
110010010023003,57
110010010023004,39
110010010023005,8
110010010023006,186
110010011001000,2
110010011001001,61
110010011001002,14
110010011001003,59
110010011001004,26
110010011001005,52
110010011001006,66
110010011001007,25
110010011001008,92
110010011001009,58
110010011001010,89
110010011001011,98
110010011001012,84
110010011001013,109
110010011001014,51
110010011001015,8
110010011001016,46
110010011001017,74
110010011001018,92
110010011001019,54
110010011001020,71
110010011001021,72
110010011001022,66
110010011001023,48
110010011002000,36
110010011002001,59
110010011002002,41
110010011002003,68
110010011002004,76
110010011002005,74
110010011002006,88
110010011002007,77
110010011002008,24
110010011002009,45
110010011002010,67
110010011002011,27
110010011002013,53
110010011002015,43
110010011002016,59
110010011002017,82
110010011002018,83
110010011002019,33
110010011002020,20
110010011002021,65
110010011002022,35
110010011002023,38
110010011002024,45
110010011002025,80
110010011002026,48
110010011002027,72
110010011002028,21
110010011003000,74
110010011003001,67
110010011003002,57
110010011003003,81
110010011003004,90
110010011003005,28
110010011003006,56
110010011003007,90
110010011003008,55
110010011003009,42
110010011004000,38
110010011004001,65
110010011004002,68
110010011004003,61
110010011004004,64
110010011004005,76
110010011004006,106
110010011004007,7
110010011004009,17
110010011004010,112
110010011004011,31
110010011004013,6
110010011004014,32
110010011004015,48
110010011004016,50
110010011004017,5
110010011004020,38
110010011004021,43
110010011004024,39
110010011004025,20
110010011004028,13
110010011004030,56
110010012001002,13
110010012001003,40
110010012001004,56
110010012001005,42
110010012001006,23
110010012001007,4
110010012001008,71
110010012001009,46
110010012001010,66
110010012001011,79
110010012001012,74
110010012001013,90
110010012001014,13
110010012001015,1
110010012002000,102
110010012002001,78
110010012002002,77
110010012002003,86
110010012002004,59
110010012002005,1
110010012002006,67
110010012002007,82
110010012002008,114
110010012003000,42
110010012003001,86
110010012003002,78
110010012003003,67
110010012003004,74
110010012003005,24
110010012003006,34
110010012003007,74
110010012003008,76
110010012003009,70
110010012003010,82
110010012004000,58
110010012004001,46
110010012004002,37
110010012004003,65
110010012004004,71
110010012004005,30
110010012004007,2
110010012004008,2
110010012004010,132
110010012004012,90
110010012004013,89
110010012004014,71
110010012004015,59
110010012004016,66
110010012004017,72
110010012004018,26
110010012004019,9
110010012004020,72
110010012004021,68
110010012004022,68
110010012004023,66
110010012004024,2
110010012004025,73
110010012004026,64
110010012004027,9
110010013011004,78
110010013011007,99
110010013011009,68
110010013011014,31
110010013011016,109
110010013011017,108
110010013011018,43
110010013011019,76
110010013012005,81
110010013012010,61
110010013012012,34
110010013013000,31
110010013013001,26
110010013013002,118
110010013013003,84
110010013013004,48
110010013013005,57
110010013013006,34
110010013013007,93
110010013021000,77
110010013021001,147
110010013022001,201
110010013022003,30
110010013022007,138
110010013022008,73
110010013022009,59
110010013023000,31
110010013023005,103
110010013023006,12
110010013023007,39
110010013023008,101
110010013023009,67
110010013023010,37
110010013023011,8
110010014011010,44
110010014011011,50
110010014011012,69
110010014011013,90
110010014011014,42
110010014011015,66
110010014011016,50
110010014011017,62
110010014011018,90
110010014012006,16
110010014012007,51
110010014012008,75
110010014012012,102
110010014012013,103
110010014012015,12
110010014012017,11
110010014012018,50
110010014012019,89
110010014012020,100
110010014021011,27
110010014022002,26
110010014022003,62
110010014022004,47
110010014022005,53
110010014022006,13
110010014023000,60
110010014023001,70
110010014023002,62
110010014023003,62
110010014023004,58
110010014023005,69
110010014023006,57
110010014023007,92
110010014023008,95
110010014023009,46
110010015002005,12
110010016001000,51
110010016001001,70
110010016001002,62
110010016001003,88
110010016001004,99
110010016001005,104
110010016001006,49
110010016001007,68
110010016001008,58
110010016001009,52
110010016001010,78
110010016001011,91
110010016001012,87
110010016001013,33
110010016001014,47
110010016001015,44
110010016001016,79
110010016001017,103
110010016001018,45
110010016001019,102
110010016001020,89
110010016001021,52
110010016001022,65
110010016002001,62
110010016002002,67
110010016002003,58
110010016002004,26
110010016002005,53
110010016002006,64
110010016002007,74
110010016002008,36
110010016002009,54
110010016002010,68
110010016002011,74
110010016002012,39
110010016003000,69
110010016003001,66
110010016003002,62
110010016003003,88
110010016003004,91
110010016003005,79
110010016003006,59
110010016003007,22
110010016003008,92
110010016003009,85
110010016003010,79
110010016003011,83
110010016003012,49
110010016003013,71
110010016003014,195
110010016003015,40
110010016004000,124
110010016004002,143
110010016004004,58
110010016004005,87
110010016004009,61
110010016004011,115
110010016004012,56
110010016004015,7
110010016004016,30
110010016004017,42
110010016004018,79
110010016004019,54
110010016004020,12
110010016004021,64
110010016004022,20
110010016004023,53
110010016004029,63
110010017021000,14
110010017021001,15
110010017021002,17
110010017021003,10
110010017021004,16
110010017021005,63
110010017021006,45
110010017021008,48
110010017021012,26
110010017021013,62
110010017021014,66
110010017021015,74
110010017021016,25
110010017021017,30
110010017021018,70
110010017021019,60
110010017021020,21
110010017021021,47
110010017021022,7
110010017021023,10
110010017021027,12
110010017021028,61
110010017021029,59
110010017022000,41
110010017022001,11
110010017022002,1
110010017022003,1
110010017022004,58
110010017022005,47
110010017022006,61
110010017022007,50
110010017022008,29
110010017022009,29
110010017022010,20
110010017022011,9
110010017022012,40
110010017022014,44
110010017022015,67
110010017022016,68
110010017022017,18
110010017022018,27
110010017022019,58
110010018031000,83
110010018031001,85
110010018031002,86
110010018031003,82
110010018031004,31
110010018031005,54
110010018031006,72
110010018031007,90
110010018031011,30
110010018032000,72
110010018032001,65
110010018032002,82
110010018032003,61
110010018032004,58
110010018032005,50
110010018041000,37
110010018041001,40
110010018041002,75
110010018041003,126
110010018041004,110
110010018041005,46
110010018041006,53
110010018041007,88
110010018042000,95
110010018042001,88
110010018042002,60
110010018042003,34
110010018042004,8
110010018042007,25
110010018042008,30
110010018042009,4
110010018042010,10
110010018042011,14
110010018042012,14
110010018042013,7
110010018042014,11
110010018042015,12
110010018042016,7
110010018043000,98
110010018043001,93
110010018043002,46
110010018043003,35
110010018043004,25
110010018043005,46
110010018043007,20
110010019011004,51
110010019011005,13
110010019011006,40
110010019011012,41
110010019012004,19
110010019012011,15
110010019013000,65
110010019013001,5
110010019013002,43
110010019013003,23
110010019013004,31
110010019013006,18
110010019013007,5
110010019013008,38
110010019013009,5
110010019013010,24
110010019013011,19
110010019013012,5
110010019014000,24
110010019014004,30
110010019014005,39
110010019014007,6
110010019014010,7
110010019014011,56
110010019014012,19
110010019014014,24
110010019014015,16
110010019021000,35
110010019021001,52
110010019021008,41
110010019021012,35
110010019021013,20
110010019021014,35
110010019021016,29
110010019021017,49
110010019022000,35
110010019022001,55
110010019022002,22
110010019022003,30
110010019022004,106
110010019022005,19
110010019022007,44
110010019022008,51
110010019022009,18
110010019022010,16
110010019022011,55
110010019022012,16
110010019022013,28
110010019022015,37
110010019022016,27
110010020011000,21
110010020011001,5
110010020011002,3
110010020011008,19
110010020012000,40
110010020012004,78
110010020012005,35
110010020012010,65
110010020012011,45
110010020012014,105
110010020012015,5
110010020021001,13
110010020021002,28
110010020021003,13
110010020021004,13
110010020021005,14
110010020021007,17
110010020021008,17
110010020021009,17
110010020021010,5
110010020021011,23
110010020021012,48
110010020021013,4
110010020021014,14
110010020021015,60
110010020021016,65
110010020021018,9
110010020021019,61
110010020021020,12
110010020021021,40
110010020021022,20
110010020021023,16
110010020021024,37
110010020021025,33
110010020021026,49
110010020022000,41
110010020022002,14
110010020022003,29
110010020022004,34
110010020022005,18
110010020023000,52
110010020023001,57
110010020023002,46
110010020023003,42
110010020023004,45
110010020023007,62
110010020023008,26
110010020023009,14
110010020023011,6
110010020023012,20
110010020023013,11
110010021011000,10
110010021011001,16
110010021011007,18
110010021012000,41
110010021012002,14
110010021012003,42
110010021013000,14
110010021013001,19
110010021013002,19
110010021013004,42
110010021013005,14
110010021014000,37
110010021014001,26
110010021014002,42
110010021014003,40
110010021014004,11
110010021014005,28
110010021014007,13
110010021014008,2
110010021014009,37
110010021015000,14
110010021015001,14
110010021015002,1
110010021015003,24
110010021015004,25
110010021015005,32
110010021021000,25
110010021021002,9
110010021021005,18
110010021021006,1
110010021021007,9
110010021021008,9
110010021021011,21
110010021021012,40
110010021021013,5
110010021021016,11
110010021022000,25
110010021022002,59
110010021022003,41
110010021022004,15
110010021022005,25
110010021022006,13
110010021022007,39
110010021022008,81
110010021022009,86
110010021023000,56
110010021023001,35
110010021023004,30
110010021023005,26
110010021024000,16
110010021024001,17
110010021024003,42
110010021024005,17
110010021024007,60
110010021024008,43
110010021025002,23
110010021025003,28
110010021025004,19
110010021025005,14
110010021026002,18
110010021026003,56
110010021026004,73
110010021026005,32
110010021026006,14
110010021026009,74
110010022011000,26
110010022011001,7
110010022011002,7
110010022011003,15
110010022011004,27
110010022011005,4
110010022011006,37
110010022011007,57
110010022011008,28
110010022011009,16
110010022011011,38
110010022012000,60
110010022012001,16
110010022012003,15
110010022012005,8
110010022012006,16
110010022012007,30
110010022012008,41
110010022012009,14
110010022012010,14
110010022012011,12
110010022012012,12
110010022012013,8
110010022012014,9
110010022012015,31
110010022013001,14
110010022013002,18
110010022013003,38
110010022013004,33
110010022013006,24
110010022013007,27
110010022021000,62
110010022021001,109
110010022021002,27
110010022021003,44
110010022021004,51
110010022021006,44
110010022021007,40
110010022021008,65
110010022022001,23
110010022022002,51
110010022022003,13
110010022023001,22
110010022023002,31
110010022023003,8
110010022023004,31
110010022023005,19
110010022023006,19
110010022023007,23
110010023011000,42
110010023011001,6
110010023011003,32
110010023011006,12
110010023011007,7
110010023011008,6
110010023011012,18
110010023011013,43
110010023011017,50
110010023011018,13
110010023012000,28
110010023012001,16
110010023012002,52
110010023012003,14
110010023012005,19
110010023012006,14
110010023012007,14
110010023012008,18
110010023012009,13
110010023012010,33
110010023012011,33
110010023012012,41
110010023012013,9
110010023012014,14
110010023021001,16
110010023021010,34
110010023021013,44
110010023021025,44
110010023021026,5
110010024001000,82
110010024001001,63
110010024001002,12
110010024001003,34
110010024001004,4
110010024001005,21
110010024001006,43
110010024001007,51
110010024001008,48
110010024002000,26
110010024002001,27
110010024002002,20
110010024002004,33
110010024002005,27
110010024002006,6
110010024002007,25
110010024002008,7
110010024002009,25
110010024002010,7
110010024002011,14
110010024002012,4
110010024002013,1
110010024002017,45
110010024002018,47
110010024003000,30
110010024003001,40
110010024003002,36
110010024003003,46
110010024003004,56
110010024003005,35
110010024003006,23
110010024003007,15
110010024004000,60
110010024004001,78
110010024004002,16
110010024004003,63
110010024004004,32
110010024004005,5
110010024004006,47
110010024004007,72
110010024004008,52
110010024004009,37
110010025011000,77
110010025011001,34
110010025011002,66
110010025011003,52
110010025011004,32
110010025011005,52
110010025011006,9
110010025011007,72
110010025011009,46
110010025011010,43
110010025011011,62
110010025012000,53
110010025012001,44
110010025012002,43
110010025012003,26
110010025012004,36
110010025012005,53
110010025012006,67
110010025012007,51
110010025012008,70
110010025012009,64
110010025012010,51
110010025012011,70
110010025012012,97
110010025012013,43
110010025012014,3
110010025021002,52
110010025021003,47
110010025021004,75
110010025021005,69
110010025022000,56
110010025022001,56
110010025022002,48
110010025022003,23
110010025022004,59
110010025022005,21
110010025022006,48
110010025022007,48
110010025022008,31
110010025022009,9
110010025023000,81
110010025023001,100
110010025023002,88
110010025023003,83
110010025023004,45
110010025023005,5
110010025024000,65
110010025024001,85
110010025024002,119
110010025024003,27
110010025024004,9
110010026001000,44
110010026001023,34
110010026002000,7
110010026002006,36
110010026002010,109
110010026002011,37
110010026002015,47
110010026002020,14
110010026002021,14
110010026002022,40
110010026002023,13
110010026002024,41
110010026002026,81
110010026002027,69
110010026002029,67
110010026002030,65
110010027011000,58
110010027011001,21
110010027011002,52
110010027012000,51
110010027012001,25
110010027012002,51
110010027012003,86
110010027012004,80
110010027012005,110
110010027012006,50
110010027012007,18
110010027013000,153
110010027013001,35
110010027013002,2
110010027014000,111
110010027021000,30
110010027021001,29
110010027021002,10
110010027021003,11
110010027021004,40
110010027021005,15
110010027021006,31
110010027022000,56
110010027022001,76
110010027022002,76
110010027022003,65
110010027022004,55
110010027022005,88
110010027022006,66
110010027022007,102
110010027022008,4
110010027023000,66
110010027023001,33
110010027023007,42
110010027023008,81
110010027023009,59
110010027023010,63
110010027023012,29
110010028011000,5
110010028011001,69
110010028011002,20
110010028011003,119
110010028012000,15
110010028012001,60
110010028012002,52
110010028012003,30
110010028012004,31
110010028012005,38
110010028012006,57
110010028012007,47
110010028021001,64
110010028021002,42
110010028021003,19
110010028021004,63
110010028021005,18
110010028021006,6
110010028022000,106
110010028022001,43
110010028022002,53
110010028022003,78
110010028022004,61
110010028022005,17
110010028022006,4
110010029001000,22
110010029001001,64
110010029001002,44
110010029001003,57
110010029001004,74
110010029001005,62
110010029001006,22
110010029001007,48
110010029002000,55
110010029002001,28
110010029002002,39
110010029002003,46
110010029002004,52
110010029002005,82
110010029002006,47
110010029002007,53
110010029002008,52
110010029002009,54
110010029002010,50
110010030001000,55
110010030001001,91
110010030001002,12
110010030001003,65
110010030001004,54
110010030001005,74
110010030002000,32
110010030002001,75
110010030002002,79
110010030002003,79
110010030002004,45
110010031001000,10
110010031001001,37
110010031001002,57
110010031001003,68
110010031001004,65
110010031001005,24
110010031001006,59
110010031001007,68
110010031001008,63
110010031001009,42
110010031001010,51
110010031001011,83
110010031001012,47
110010031001013,46
110010031001014,33
110010031001015,32
110010031001016,66
110010031001017,65
110010032001000,13
110010032001001,27
110010032001002,41
110010032001003,69
110010032001004,61
110010032001005,57
110010032001006,65
110010032002000,44
110010032002001,32
110010032002002,45
110010032002003,90
110010032002004,25
110010032002005,52
110010032003000,42
110010032003001,130
110010032003002,42
110010032003003,93
110010032003004,58
110010032003005,37
110010032004000,56
110010032004001,53
110010032004003,43
110010032004004,49
110010032004005,20
110010032004006,88
110010032004007,6
110010032004010,57
110010033011000,88
110010033011001,83
110010033011002,97
110010033011003,88
110010033011004,120
110010033012000,93
110010033012001,83
110010033012002,54
110010033012003,57
110010033012004,50
110010033012005,26
110010033013000,72
110010033013001,43
110010033013002,56
110010033013003,56
110010033013004,40
110010033013005,36
110010033021000,154
110010033021001,6
110010033021002,68
110010033021003,102
110010033021004,99
110010033021005,67
110010033021006,56
110010033022000,96
110010033022001,98
110010033022002,48
110010033022003,28
110010033022004,72
110010033022005,26
110010033022006,7
110010034001000,51
110010034001001,81
110010034001002,44
110010034001003,54
110010034001004,50
110010034002000,49
110010034002002,7
110010034002003,35
110010034002004,6
110010034002005,60
110010034002011,3
110010034002012,24
110010034002014,25
110010034002015,26
110010034002016,28
110010034002017,36
110010034002018,44
110010034002019,50
110010034002020,13
110010034002021,6
110010034002022,26
110010034002023,37
110010034002024,56
110010034002025,38
110010034002026,47
110010034002027,10
110010034002028,38
110010035001000,72
110010035001001,32
110010035001002,64
110010035001003,73
110010035001004,46
110010035001005,55
110010035001006,52
110010035002001,60
110010035002002,107
110010035002003,11
110010035002004,55
110010035002005,40
110010035002006,11
110010035002007,11
110010035002008,9
110010036001000,81
110010036001001,82
110010036001002,60
110010036002000,72
110010036002001,68
110010036002002,69
110010036003000,72
110010036003001,85
110010036003002,82
110010036003003,70
110010036003004,53
110010036003005,93
110010037001000,61
110010037001001,20
110010037001002,88
110010037001003,8
110010037002000,70
110010037002001,13
110010037002002,93
110010037002003,54
110010037003000,57
110010037003001,40
110010037003002,53
110010037003003,70
110010038001000,88
110010038001001,68
110010038001002,76
110010038001003,60
110010038002000,93
110010038002001,53
110010038002002,141
110010038002003,47
110010038002004,45
110010038002005,23
110010038002006,3
110010038002007,3
110010038003000,4
110010038003001,55
110010038003002,22
110010038003003,47
110010038003004,27
110010038003005,24
110010038003006,9
110010038003007,48
110010039001000,20
110010039001001,50
110010039001002,49
110010039001003,50
110010039002000,11
110010039002001,57
110010039002002,51
110010039002003,29
110010039002010,66
110010039002011,51
